,Channel,Note,Time,Velocity,MidiName,Artist,Genre,Length,Ticks_per_beat,Tempo,Program,Type,Instrument,Real_time,Octave
1836,0,68,9,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0094537875,G#5
1837,0,68,155,87,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.1628152291666667,G#5
1838,0,71,0,85,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,B5
1839,0,76,0,83,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,E6
1840,0,71,72,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0756303,B5
1841,0,76,1,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0010504208333333334,E6
1842,0,68,10,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.010504208333333334,G#5
1843,0,68,157,89,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.16491607083333334,G#5
1844,0,71,0,95,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,B5
1845,0,76,0,91,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,E6
1846,0,68,367,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.3855044458333333,G#5
1847,0,71,5,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.005252104166666667,B5
1848,0,76,9,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0094537875,E6
1849,0,68,99,87,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.1039916625,G#5
1850,0,71,0,83,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,B5
1851,0,76,0,85,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,E6
1852,0,76,85,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.08928577083333333,E6
1853,0,71,3,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0031512625,B5
1854,0,68,3,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0031512625,G#5
1855,0,68,149,89,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.15651270416666668,G#5
1856,0,71,0,85,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,B5
1857,0,76,0,83,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,E6
1858,0,71,81,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0850840875,B5
1859,0,76,3,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0031512625,E6
1860,0,68,13,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.013655470833333334,G#5
1861,0,69,143,83,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.15021017916666668,A5
1862,0,71,0,81,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,B5
1863,0,76,0,83,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,E6
1864,0,71,81,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0850840875,B5
1865,0,76,8,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.008403366666666667,E6
1866,0,69,4,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0042016833333333335,A5
1867,0,69,147,87,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.1544118625,A5
1868,0,72,0,85,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,C6
1869,0,76,0,87,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,E6
1870,0,72,83,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.08718492916666667,C6
1871,0,76,8,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.008403366666666667,E6
1872,0,69,8,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.008403366666666667,A5
1873,0,69,141,87,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.1481093375,A5
1874,0,72,0,81,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,C6
1875,0,76,0,83,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,E6
1876,0,72,80,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.08403366666666667,C6
1877,0,76,11,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.011554629166666667,E6
1878,0,69,6,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.006302525,A5
1879,0,69,143,81,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.15021017916666668,A5
1880,0,72,0,80,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,C6
1881,0,76,0,81,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,E6
1882,0,72,82,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.08613450833333333,C6
1883,0,76,8,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.008403366666666667,E6
1884,0,69,2,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0021008416666666667,A5
1885,0,69,148,87,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.15546228333333334,A5
1886,0,72,0,89,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,C6
1887,0,76,0,93,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,E6
1888,0,72,372,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.39075655000000004,C6
1889,0,69,6,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.006302525,A5
1890,0,76,1,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0010504208333333334,E6
1891,0,81,101,89,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.10609250416666667,A6
1892,0,84,0,85,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,C7
